hashtags_count,mentions_count,favourites_count,media_count,week,day_night,active_passive,mentions,top_mentions,coordinates,target
1,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
2,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
7,2,0,0,2,0.25,0.75,6,-1,-100,0.0
5,1,0,0,1,0.0,0.5,1,1,-100,0.5
4,1,0,0,2,0.0,0.0,1,1,-100,0.5
1,0,0,0,1,1.0,1.0,-1,-1,-100,0.6666666666666666
11,2,0,0,1,0.8333333333333334,0.6666666666666666,1,-1,-100,0.875
8,2,0,0,1,0.6666666666666666,0.3333333333333333,1,1,-100,0.5
1,0,0,0,2,1.0,1.0,-1,-1,-100,0.6666666666666666
1,0,0,0,1,0.0,1.0,-1,-1,-100,0.0
13,1,0,2,1,1.0,0.5,7,-1,-100,0.5
1,1,0,0,2,0.0,1.0,6,2,-100,0.0
25,5,0,0,1,0.18181818181818182,0.8181818181818182,2,-1,-100,0.0
4,0,0,0,1,0.5,1.0,-1,-1,-100,0.5
23,2,0,0,1,0.3157894736842105,0.8947368421052632,8,-1,-100,0.0
10,0,0,0,1,1.0,1.0,-1,-1,-100,0.2
